County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Steele County,31750,36300,40850,45350,49000,52650,56250,59900,19050,21800,24500,27750,32470,37190,41910,46630,50800,58050,65300,72550,78400,84200,90000,95800
Stevens County,32700,37350,42000,46650,50400,54150,57850,61600,19600,22400,25200,28000,32470,37190,41910,46630,52250,59700,67150,74600,80600,86550,92550,98500
Swift County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Todd County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Traverse County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Wabasha County,31300,35800,40250,44700,48300,51900,55450,59050,18800,21450,24150,27750,32470,37190,41910,46630,50050,57200,64350,71500,77250,82950,88700,94400
Wadena County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Waseca County,29300,33450,37650,41800,45150,48500,51850,55200,17600,20100,23030,27750,32470,37190,41910,46630,46850,53550,60250,66900,72300,77650,83000,88350
Washington County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Watonwan County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Wilkin County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
Winona County,30600,35000,39350,43700,47200,50700,54200,57700,18350,21000,23600,27750,32470,37190,41910,46630,48950,55950,62950,69900,75500,81100,86700,92300
Wright County,41100,46950,52800,58650,63350,68050,72750,77450,24650,28200,31700,35200,38050,40850,43650,46630,62600,71550,80500,89400,96600,103750,110900,118050
Yellow Medicine County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,23030,27750,32470,37190,41910,46630,46700,53350,60000,66650,72000,77350,82650,88000
