Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2021-12-31 00:00:00,County,SD South Dakota,SD Moody County 46101,9,Summary of All HUD Programs,1,,Moody County,46101,32,77,25,100,7,8,1.5,37,322,460,14628,9883,4,20,36,20,20,8,-1,92,27,100,64,-1,12,80,12,50,16,16,-1,8,16,76,-1,12,-1,8,4,88,-1,-1,-1,0,0,-1,69,100,71,80,8,12,-1,13,32,71,,,,,,SD,,,moody sd,12,88,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Moody County 46101,9,Housing Choice Vouchers,3,,Moody County,46101,16,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,SD,,,moody sd,-4,-4,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Moody County 46101,9,Project Based Section 8,5,,Moody County,46101,16,98,16,100,6,13,1.0,16,325,444,14865,14865,-1,13,44,31,13,6,-1,94,28,100,63,-1,-1,81,-1,100,7,19,-1,-1,13,88,-1,13,-1,6,6,88,-1,-1,-1,0,0,-1,69,100,35,100,-1,-1,-1,13,35,69,,,,,,SD,,,moody sd,13,87,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Pennington County 46103,9,Summary of All HUD Programs,1,,Pennington County,46103,2859,92,2593,99,6,17,2.0,5173,305,548,12847,6439,12,28,26,15,18,15,1,76,22,97,77,5,31,69,32,50,54,28,4,42,21,34,3,48,3,42,0,51,0,1,2,3,4,14,81,50,107,45,32,24,16,21,27,54,,,,,,SD,,,pennington sd,49,51,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Pennington County 46103,9,Public Housing,2,,Pennington County,46103,500,98,487,99,6,22,2.0,985,336,434,14943,7388,4,31,26,16,22,14,1,80,25,93,75,7,25,60,27,74,68,39,2,40,20,38,3,43,3,36,1,57,0,1,1,2,4,9,68,35,171,62,10,27,1,17,19,64,,,,,,SD,,,pennington sd,43,57,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Pennington County 46103,9,Housing Choice Vouchers,3,,Pennington County,46103,1382,91,1235,98,5,16,2.0,2448,318,543,12978,6547,9,29,29,16,17,14,2,77,22,98,76,4,31,71,31,51,46,28,3,38,22,37,3,44,3,38,0,56,0,2,2,3,3,17,77,77,98,37,39,24,25,20,26,54,,,,,,SD,,,pennington sd,44,56,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Pennington County 46103,9,Project Based Section 8,5,,Pennington County,46103,958,90,854,99,6,18,2.0,1723,268,627,11440,5670,22,25,20,14,18,18,1,74,19,98,78,7,35,70,37,37,56,22,7,49,19,25,3,58,2,52,0,39,-1,1,3,4,5,-1,94,20,95,46,33,21,12,24,31,50,,,,,,SD,,,pennington sd,61,39,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Pennington County 46103,9,811/PRAC,9,,Pennington County,46103,19,91,17,99,7,6,1.0,17,324,255,13921,13921,-1,35,24,24,18,6,-1,94,26,100,71,-1,-1,53,-1,100,100,100,-1,41,12,47,-1,18,12,6,-1,82,-1,-1,-1,0,6,-1,112,-1,-1,71,29,-1,29,31,44,43,,,,,,SD,,,pennington sd,18,82,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Perkins County 46105,9,Summary of All HUD Programs,1,,Perkins County,46105,92,84,82,100,5,24,1.2,100,297,369,15731,12900,3,24,28,23,24,17,-1,80,30,88,57,4,7,59,9,56,15,29,7,32,11,50,24,13,1,10,-1,85,-1,1,1,2,1,2,65,18,113,78,18,4,9,9,3,78,,,,,,SD,,,perkins sd,15,85,0,0
2021-12-31 00:00:00,County,SD South Dakota,SD Perkins County 46105,9,Public Housing,2,,Perkins County,46105,44,95,42,100,4,24,1.2,50,313,245,17965,15091,2,15,29,22,32,19,-1,79,35,76,48,7,-1,55,2,44,8,18,2,21,14,62,33,5,-1,5,-1,95,-1,-1,-1,0,0,2,57,-1,-1,88,12,-1,2,9,3,78,,,,,,SD,,,perkins sd,5,95,0,0
